type,title,release_year,rating,listed_in,movie_duration,series_duration,cluster,sub_cluster
Movie,Dumplin',2018,PG-13,"Comedies, Dramas, Independent Movies",110.0,0,2,9.0
Movie,Free Rein: The Twelve Neighs of Christmas,2018,TV-G,"Children & Family Movies, Dramas",58.0,0,2,16.0
Movie,Mowgli: Legend of the Jungle,2018,PG-13,"Action & Adventure, Children & Family Movies, Dramas",105.0,0,2,9.0
TV Show,Neo Yokio,2018,TV-MA,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows",0.0,2,3,15.0
TV Show,Pine Gap,2018,TV-MA,"International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,ReMastered: Who Killed Jam Master Jay?,2018,TV-MA,"Documentaries, Music & Musicals",59.0,0,2,17.0
Movie,Super Monsters and the Wish Star,2018,TV-Y,Children & Family Movies,28.0,0,2,16.0
Movie,The American Meme,2018,TV-MA,Documentaries,98.0,0,2,17.0
Movie,RUSSELL BRAND: RE:BIRTH,2018,TV-MA,Stand-Up Comedy,63.0,0,2,5.0
TV Show,The Sound of Your Heart: Reboot,2018,TV-14,"International TV Shows, Korean TV Shows, TV Comedies",0.0,2,3,17.0
TV Show,Memories of the Alhambra,2018,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",0.0,1,3,11.0
Movie,Teefa in Trouble,2018,TV-14,"Action & Adventure, Comedies, International Movies",155.0,0,2,4.0
Movie,A Beautiful Life,2011,TV-14,"Dramas, International Movies, Romantic Movies",122.0,0,2,15.0
Movie,Accident,2009,TV-MA,"International Movies, Thrillers",87.0,0,2,13.0
Movie,"Ayotzinapa, el paso de la tortuga",2018,TV-MA,"Documentaries, International Movies",73.0,0,2,17.0
Movie,Battle,2018,TV-MA,"Dramas, International Movies, Romantic Movies",98.0,0,2,7.0
Movie,Blind Detective,2013,TV-MA,"Action & Adventure, Comedies, International Movies",130.0,0,2,6.0
Movie,Break Up 100,2014,TV-14,"Comedies, International Movies, Romantic Movies",105.0,0,2,4.0
Movie,Chal Bhaag,2014,TV-14,"Comedies, Dramas, International Movies",110.0,0,2,4.0
Movie,Crossroads: One Two Jaga,2018,TV-14,"Dramas, International Movies",81.0,0,2,15.0
Movie,Don't Go Breaking My Heart,2011,TV-PG,"Comedies, International Movies, Romantic Movies",115.0,0,2,1.0
Movie,Don't Go Breaking My Heart 2,2014,TV-14,"Comedies, International Movies, Romantic Movies",113.0,0,2,4.0
Movie,Faraar,2015,TV-14,"Action & Adventure, Dramas, International Movies",146.0,0,2,15.0
TV Show,Haunted House,2017,TV-G,"Kids' TV, Korean TV Shows",0.0,1,3,13.0
Movie,Helios,2015,TV-14,"Action & Adventure, International Movies",118.0,0,2,0.0
Movie,Line Walker,2016,TV-MA,"Action & Adventure, Dramas, International Movies",109.0,0,2,7.0
Movie,Look for a Star,2009,TV-14,"Comedies, International Movies, Romantic Movies",117.0,0,2,4.0
Movie,Oddbods: The Festive Menace,2018,TV-Y,Movies,23.0,0,2,16.0
Movie,Once a Gangster,2010,TV-MA,"Action & Adventure, Comedies, International Movies",95.0,0,2,6.0
Movie,Power Paandi,2017,TV-MA,"Dramas, Independent Movies, International Movies",124.0,0,2,7.0
Movie,Roll With Me,2017,TV-MA,"Documentaries, Sports Movies",90.0,0,2,17.0
Movie,SDU: Sex Duties Unit,2013,TV-MA,"Comedies, International Movies",96.0,0,2,6.0
Movie,Set Off,2008,TV-MA,"Dramas, International Movies",96.0,0,2,7.0
TV Show,1983,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,A Christmas Prince: The Royal Wedding,2018,TV-PG,"Children & Family Movies, Dramas, Romantic Movies",93.0,0,2,1.0
Movie,Angela's Christmas,2018,TV-Y,Children & Family Movies,30.0,0,2,16.0
TV Show,Death by Magic,2018,TV-PG,Reality TV,0.0,1,3,5.0
Movie,El club de los insomnes,2018,TV-MA,"Dramas, International Movies",82.0,0,2,7.0
Movie,Happy as Lazzaro,2018,PG-13,"Dramas, Independent Movies, International Movies",127.0,0,2,9.0
TV Show,Love and Fortune,2018,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Manto,2018,TV-MA,"Dramas, Independent Movies, International Movies",114.0,0,2,7.0
Movie,Rajma Chawal,2018,TV-MA,"Comedies, Dramas, International Movies",119.0,0,2,7.0
TV Show,Spy Kids: Mission Critical,2018,TV-Y7,Kids' TV,0.0,2,3,13.0
Movie,The World Is Yours,2018,TV-MA,"Action & Adventure, Comedies, International Movies",101.0,0,2,6.0
Movie,Time Share,2018,TV-MA,"Dramas, Independent Movies, International Movies",96.0,0,2,7.0
TV Show,Bumping Mics with Jeff Ross & Dave Attell,2018,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",0.0,1,3,15.0
TV Show,Minecraft: Story Mode,2015,TV-PG,Kids' TV,0.0,1,3,0.0
Movie,My Little Pony Friendship Is Magic: Best Gift Ever,2018,TV-Y,Children & Family Movies,44.0,0,2,16.0
TV Show,Frontier,2018,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",0.0,3,3,16.0
TV Show,Fugitiva,2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,1,3,11.0
TV Show,Sick Note,2018,TV-MA,"British TV Shows, International TV Shows, TV Comedies",0.0,2,3,15.0
TV Show,Mystery Science Theater 3000: The Return,2018,TV-14,"TV Comedies, TV Sci-Fi & Fantasy",0.0,2,3,17.0
Movie,The Christmas Chronicles,2018,TV-PG,"Children & Family Movies, Comedies",104.0,0,2,2.0
Movie,The Tribe,2018,TV-MA,"Comedies, International Movies",91.0,0,2,6.0
TV Show,Kulipari: Dream Walker,2018,TV-Y7,Kids' TV,0.0,1,3,13.0
TV Show,Paap-O-Meter,2017,TV-Y7,"Kids' TV, TV Comedies",0.0,1,3,13.0
Movie,Puppy Star Christmas,2018,PG,"Children & Family Movies, Comedies",91.0,0,2,2.0
Movie,Sabrina,2018,TV-MA,"Horror Movies, International Movies",114.0,0,2,13.0
Movie,Target,2018,TV-14,"Comedies, Horror Movies, International Movies",91.0,0,2,4.0
TV Show,The Final Table,2018,TV-PG,Reality TV,0.0,1,3,5.0
Movie,Trevor Noah: Son of Patricia,2018,TV-MA,Stand-Up Comedy,64.0,0,2,5.0
Movie,The Pixar Story,2007,G,Documentaries,89.0,0,2,18.0
TV Show,Eternal Love,2017,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",0.0,1,3,10.0
TV Show,La Doña,2016,TV-14,"Spanish-Language TV Shows, TV Dramas",0.0,1,3,10.0
TV Show,Silvana Sin Lana,2016,TV-14,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",0.0,1,3,17.0
Movie,Cam,2018,TV-MA,"Horror Movies, Independent Movies, Thrillers",95.0,0,2,13.0
Movie,Nothing to Hide,2018,TV-MA,"Comedies, Dramas, International Movies",94.0,0,2,7.0
TV Show,Ponysitters Club,2018,TV-G,"Kids' TV, TV Dramas",0.0,2,3,13.0
Movie,The Ballad of Buster Scruggs,2018,R,"Comedies, Dramas",133.0,0,2,10.0
Movie,The Princess Switch,2018,TV-G,"Children & Family Movies, Dramas, Romantic Movies",102.0,0,2,2.0
TV Show,Vai Anitta,2018,TV-MA,"Docuseries, International TV Shows, Reality TV",0.0,1,3,14.0
Movie,Aalorukkam,2018,TV-PG,"Dramas, Independent Movies, International Movies",122.0,0,2,1.0
TV Show,Beyblade Burst Evolution,2017,TV-Y,"Anime Series, Kids' TV",0.0,1,3,4.0
Movie,Christmas Wedding Planner,2017,PG,"Comedies, International Movies, Romantic Movies",86.0,0,2,6.0
Movie,Halkaa,2018,TV-14,"Comedies, Dramas, Independent Movies",111.0,0,2,4.0
Movie,May the Devil Take You,2018,TV-MA,"Horror Movies, International Movies",111.0,0,2,13.0
Movie,Muzaffarnagar Baaqi Hai,2015,TV-MA,"Documentaries, International Movies",136.0,0,2,17.0
Movie,Odu Raja Odu,2018,TV-14,"Comedies, Independent Movies, International Movies",121.0,0,2,4.0
Movie,Savita Damodar Paranjpe,2018,TV-14,"Horror Movies, International Movies",119.0,0,2,0.0
Movie,The Giant,2017,TV-14,"Dramas, International Movies",115.0,0,2,15.0
Movie,BuyBust,2018,TV-MA,"Action & Adventure, International Movies",128.0,0,2,13.0
Movie,Loudon Wainwright III: Surviving Twin,2018,TV-14,Music & Musicals,92.0,0,2,12.0
TV Show,Warrior,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,Age of Tanks,2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",0.0,1,3,3.0
Movie,"All's Well, End's Well (2009)",2009,TV-14,"Comedies, International Movies, Romantic Movies",99.0,0,2,4.0
Movie,Lommbock,2017,TV-MA,"Comedies, International Movies",106.0,0,2,6.0
TV Show,Medal of Honor,2018,TV-MA,"Docuseries, TV Dramas",0.0,1,3,14.0
Movie,Outlaw King,2018,R,"Action & Adventure, Dramas",122.0,0,2,10.0
TV Show,Super Drags,2018,TV-MA,"International TV Shows, TV Comedies",0.0,1,3,15.0
TV Show,The Queen of Flow,2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,1,3,11.0
TV Show,Treehouse Detectives,2018,TV-Y,"Kids' TV, TV Thrillers",0.0,2,3,4.0
TV Show,Westside,2018,TV-MA,Reality TV,0.0,1,3,5.0
TV Show,Transfers,2017,TV-MA,"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",0.0,1,3,11.0
TV Show,Damnation,2017,TV-MA,"Crime TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Bucket List,2018,TV-14,"Dramas, International Movies",129.0,0,2,15.0
Movie,John Leguizamo's Latin History for Morons,2018,TV-MA,Stand-Up Comedy,90.0,0,2,5.0
TV Show,Kopitiam,2003,TV-14,"International TV Shows, TV Comedies",0.0,7,0,1.0
Movie,Ana e Vitória,2018,TV-MA,"Comedies, International Movies, LGBTQ Movies",116.0,0,2,6.0
TV Show,Brainchild,2018,TV-G,Kids' TV,0.0,1,3,13.0
Movie,ReMastered: Tricky Dick & The Man in Black,2018,TV-14,"Documentaries, Music & Musicals",59.0,0,2,12.0
Movie,The Holiday Calendar,2018,TV-G,"Dramas, Romantic Movies",95.0,0,2,9.0
Movie,The Other Side of the Wind,2018,R,"Classic Movies, Dramas, Independent Movies",122.0,0,2,10.0
Movie,They’ll Love Me When I’m Dead,2018,TV-MA,Documentaries,98.0,0,2,17.0
Movie,Aagey Se Right,2009,TV-14,"Comedies, International Movies, Music & Musicals",117.0,0,2,4.0
Movie,Aamir,2008,TV-14,"International Movies, Thrillers",95.0,0,2,0.0
Movie,ABCD 2,2015,TV-14,"Dramas, International Movies, Music & Musicals",146.0,0,2,15.0
Movie,ABCD: Any Body Can Dance,2013,TV-14,"Dramas, International Movies",136.0,0,2,15.0
Movie,Arjun: The Warrior Prince,2011,TV-14,"Action & Adventure, Dramas, International Movies",91.0,0,2,15.0
Movie,Asees,2018,TV-14,"Dramas, International Movies, Music & Musicals",123.0,0,2,15.0
Movie,Barfi!,2012,TV-14,"Comedies, Dramas, International Movies",144.0,0,2,4.0
Movie,Chance Pe Dance,2010,TV-14,"Comedies, Dramas, International Movies",121.0,0,2,4.0
Movie,Christmas With A View,2018,TV-PG,"International Movies, Romantic Movies",91.0,0,2,1.0
Movie,Chup Chup Ke,2006,TV-14,"Comedies, Dramas, International Movies",158.0,0,2,4.0
TV Show,Creators,2015,TV-Y,"Kids' TV, Spanish-Language TV Shows",0.0,2,3,4.0
Movie,Dhan Dhana Dhan Goal,2007,TV-14,"Dramas, International Movies, Music & Musicals",157.0,0,2,15.0
Movie,Dhoondte Reh Jaoge,2009,TV-14,"Comedies, International Movies, Music & Musicals",124.0,0,2,4.0
Movie,Do Dooni Chaar,2010,TV-PG,"Comedies, International Movies",106.0,0,2,1.0
Movie,Edge of Fear,2018,TV-MA,"Independent Movies, Thrillers",92.0,0,2,3.0
Movie,"Edmilson Filho: Notas, Comedy about Relationships",2017,TV-MA,Stand-Up Comedy,80.0,0,2,5.0
TV Show,Follow This,2018,TV-MA,Docuseries,0.0,3,3,16.0
Movie,Gaddar: the Traitor,2015,TV-14,"Dramas, International Movies, Thrillers",126.0,0,2,15.0
Movie,Ghanchakkar,2013,TV-MA,"Comedies, International Movies, Thrillers",129.0,0,2,6.0
Movie,Grandmaster,2012,TV-14,"International Movies, Thrillers",133.0,0,2,0.0
Movie,Hattrick,2007,TV-14,"Comedies, Dramas, International Movies",109.0,0,2,4.0
Movie,Heroine,2012,TV-MA,"Dramas, International Movies",143.0,0,2,7.0
Movie,Himmatwala,2013,TV-14,"Action & Adventure, Comedies, International Movies",140.0,0,2,4.0
Movie,Husbands in Goa,2012,TV-14,"Comedies, International Movies, Music & Musicals",150.0,0,2,4.0
Movie,Jatts in Golmaal,2013,TV-PG,"Comedies, International Movies, Music & Musicals",128.0,0,2,1.0
Movie,Kai Po Che!,2013,TV-MA,"Dramas, International Movies, Sports Movies",120.0,0,2,7.0
Movie,Kalakalappu,2012,TV-14,"Comedies, International Movies, Music & Musicals",154.0,0,2,4.0
Movie,Katt Williams: The Pimp Chronicles: Pt. 1,2006,TV-MA,Stand-Up Comedy,45.0,0,2,5.0
Movie,Katti Batti,2015,TV-14,"Comedies, Dramas, International Movies",132.0,0,2,4.0
Movie,Life in a ... Metro,2007,TV-14,"Dramas, International Movies, Music & Musicals",126.0,0,2,15.0
Movie,Marc Maron: Thinky Pain,2013,TV-MA,Stand-Up Comedy,95.0,0,2,5.0
Movie,Mumbai Meri Jaan,2008,TV-MA,"Dramas, International Movies",135.0,0,2,7.0
Movie,Mundeyan Ton Bachke Rahin,2014,TV-14,"Comedies, International Movies, Music & Musicals",139.0,0,2,4.0
Movie,No One Killed Jessica,2011,TV-MA,"Dramas, International Movies",131.0,0,2,7.0
Movie,Oye Lucky! Lucky Oye!,2008,TV-14,"Comedies, Dramas, International Movies",118.0,0,2,4.0
Movie,Paan Singh Tomar,2010,TV-14,"Action & Adventure, Dramas, International Movies",129.0,0,2,15.0
Movie,Raja Natwarlal,2014,TV-14,"Dramas, International Movies, Thrillers",131.0,0,2,15.0
Movie,Satyagraha,2013,TV-14,"Dramas, International Movies, Music & Musicals",146.0,0,2,15.0
Movie,Settai,2013,TV-14,"Comedies, International Movies, Music & Musicals",123.0,0,2,4.0
Movie,Sigaram Thodu,2014,TV-14,"Dramas, International Movies, Thrillers",141.0,0,2,15.0
Movie,Sommore: The Reign Continues,2015,TV-MA,Stand-Up Comedy,93.0,0,2,5.0
TV Show,The Great British Baking Show: The Beginnings,2012,TV-PG,"British TV Shows, Reality TV",0.0,1,3,5.0
Movie,The Untold Tales of Armistead Maupin,2017,TV-MA,"Documentaries, LGBTQ Movies",91.0,0,2,17.0
Movie,Vaya,2016,TV-MA,"Dramas, Independent Movies, International Movies",106.0,0,2,7.0
Movie,Welcome to Sajjanpur,2008,TV-14,"Comedies, Dramas, International Movies",131.0,0,2,4.0
Movie,Yeh Hai Bakrapur,2014,TV-PG,"Comedies, Dramas, Independent Movies",95.0,0,2,1.0
Movie,Zokkomon,2011,PG,"Children & Family Movies, Dramas",104.0,0,2,2.0
Movie,Gun City,2018,TV-MA,"Dramas, International Movies, Thrillers",126.0,0,2,7.0
Movie,Heneral Luna,2015,R,"Dramas, International Movies",118.0,0,2,10.0
TV Show,Fate/EXTRA Last Encore,2018,TV-MA,"Anime Series, International TV Shows",0.0,2,3,9.0
Movie,Dragon Tiger Gate,2006,TV-14,"Action & Adventure, International Movies",94.0,0,2,0.0
Movie,Been So Long,2018,TV-MA,"Dramas, International Movies, Music & Musicals",100.0,0,2,7.0
Movie,Dovlatov,2018,PG-13,"Dramas, International Movies",126.0,0,2,9.0
Movie,Jefe,2018,TV-MA,"Comedies, Dramas, International Movies",90.0,0,2,7.0
Movie,Santo Cachón,2018,TV-14,"Comedies, International Movies, Romantic Movies",87.0,0,2,4.0
Movie,Shirkers,2018,TV-14,Documentaries,97.0,0,2,12.0
TV Show,Terrorism Close Calls,2018,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",0.0,1,3,14.0
Movie,W/O Ram,2018,TV-MA,"Dramas, International Movies, Thrillers",115.0,0,2,7.0
TV Show,DreamWorks Spooky Stories,2009,TV-PG,"Kids' TV, TV Comedies",0.0,1,3,0.0
TV Show,Great News,2017,TV-14,TV Comedies,0.0,2,3,17.0
Movie,Ronnie Coleman: The King,2018,TV-MA,Documentaries,93.0,0,2,17.0
Movie,Baahubali: The Beginning (English Version),2015,TV-14,"Action & Adventure, Dramas, International Movies",138.0,0,2,15.0
Movie,ADAM SANDLER 100% FRESH,2018,TV-MA,Stand-Up Comedy,74.0,0,2,5.0
TV Show,Here to Heart,2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",0.0,1,3,10.0
Movie,Scorpion King 5: Book of Souls,2018,PG-13,"Action & Adventure, Sci-Fi & Fantasy",102.0,0,2,14.0
TV Show,The Hollywood Masters,2017,TV-MA,Stand-Up Comedy & Talk Shows,0.0,3,3,16.0
Movie,How to Get Over a Breakup,2018,TV-MA,"Comedies, International Movies, Romantic Movies",104.0,0,2,6.0
TV Show,Accidentally in Love,2018,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,17.0
TV Show,Ask the Doctor,2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",0.0,1,3,3.0
TV Show,Best.Worst.Weekend.Ever.,2018,TV-PG,"Kids' TV, TV Comedies",0.0,1,3,0.0
Movie,"Club de Cuervos Presents: I, Potro",2018,TV-MA,Movies,51.0,0,2,5.0
Movie,Derren Brown: Sacrifice,2018,TV-MA,Movies,50.0,0,2,5.0
Movie,Gnome Alone,2018,PG,"Children & Family Movies, Comedies",86.0,0,2,2.0
Movie,Illang: The Wolf Brigade,2018,TV-MA,"Action & Adventure, International Movies, Sci-Fi & Fantasy",140.0,0,2,13.0
TV Show,Making a Murderer,2018,TV-14,"Crime TV Shows, Docuseries",0.0,2,3,6.0
TV Show,Marvel's Daredevil,2018,TV-MA,"Crime TV Shows, TV Action & Adventure",0.0,3,3,16.0
Movie,Naa Bangaaru Talli,2013,TV-14,"Dramas, International Movies",122.0,0,2,15.0
Movie,Oddbods: Party Monsters,2018,TV-Y,Movies,23.0,0,2,16.0
TV Show,Project S The Series,2017,TV-MA,"International TV Shows, TV Dramas, Teen TV Shows",0.0,4,0,0.0
Movie,S Storm,2016,TV-MA,"Action & Adventure, International Movies",95.0,0,2,13.0
Movie,The Night Comes for Us,2018,TV-MA,"Action & Adventure, International Movies",121.0,0,2,13.0
TV Show,Wanderlust,2018,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows",0.0,1,3,11.0
Movie,Mr. Chandramouli,2018,TV-MA,"Dramas, International Movies, Thrillers",131.0,0,2,7.0
TV Show,My Babysitter's a Vampire,2012,TV-PG,"Kids' TV, TV Comedies",0.0,2,3,0.0
TV Show,Rake,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies",0.0,5,0,0.0
Movie,"Ron White: If You Quit Listening, I'll Shut Up",2018,TV-MA,Stand-Up Comedy,63.0,0,2,5.0
Movie,Meghnadbodh Rohoshyo,2017,TV-MA,"Dramas, International Movies",150.0,0,2,7.0
Movie,Sanju,2018,TV-MA,"Dramas, International Movies",159.0,0,2,7.0
TV Show,Stunt Science,2018,TV-MA,"British TV Shows, International TV Shows, Reality TV",0.0,1,3,5.0
Movie,Soorma,2018,TV-14,"Dramas, International Movies, Sports Movies",131.0,0,2,15.0
Movie,Apostle,2018,TV-MA,"Horror Movies, International Movies, Thrillers",130.0,0,2,13.0
TV Show,Edgar Rice Burroughs' Tarzan and Jane,2018,TV-Y7,"Crime TV Shows, Kids' TV",0.0,2,3,13.0
Movie,Errementari: The Blacksmith and the Devil,2018,TV-MA,"Horror Movies, International Movies, Sci-Fi & Fantasy",99.0,0,2,13.0
Movie,Feminists: What Were They Thinking?,2018,TV-MA,"Documentaries, LGBTQ Movies",86.0,0,2,17.0
TV Show,FIGHTWORLD,2018,TV-MA,Docuseries,0.0,1,3,14.0
Movie,Kuntilanak,2018,TV-14,"Horror Movies, International Movies",106.0,0,2,0.0
Movie,ReMastered: Who Shot the Sheriff,2018,TV-14,"Documentaries, Music & Musicals",57.0,0,2,12.0
TV Show,The Curious Creations of Christine McConnell,2018,TV-PG,"TV Comedies, TV Mysteries",0.0,1,3,0.0
TV Show,The Haunting of Hill House,2018,TV-MA,"TV Dramas, TV Horror, TV Mysteries",0.0,1,3,1.0
Movie,The Kindergarten Teacher,2018,R,"Dramas, Independent Movies",97.0,0,2,10.0
TV Show,Ordinary Heroes,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,Salt Fat Acid Heat,2018,TV-PG,Docuseries,0.0,1,3,7.0
Movie,22 July,2018,R,"Dramas, Thrillers",144.0,0,2,10.0
TV Show,Blood Pact,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Tales From the Hood 2,2018,R,"Cult Movies, Horror Movies, Independent Movies",110.0,0,2,11.0
Movie,Mo Amer: The Vagabond,2018,TV-MA,Stand-Up Comedy,57.0,0,2,5.0
Movie,Pulang,2018,TV-14,"Action & Adventure, Dramas, International Movies",119.0,0,2,15.0
TV Show,Sofia the First,2017,TV-Y,Kids' TV,0.0,4,0,0.0
Movie,Seven in Heaven,2018,PG-13,Horror Movies,94.0,0,2,14.0
TV Show,Dancing Queen,2018,TV-14,Reality TV,0.0,1,3,5.0
TV Show,Empire Games,2018,TV-14,Docuseries,0.0,1,3,6.0
TV Show,LOST SONG,2018,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
Movie,Malevolent,2018,TV-MA,"Horror Movies, Thrillers",89.0,0,2,13.0
Movie,Private Life,2018,R,"Comedies, Dramas, Independent Movies",124.0,0,2,10.0
Movie,Super Monsters Save Halloween,2018,TV-Y,Children & Family Movies,25.0,0,2,16.0
TV Show,YG Future Strategy Office,2018,TV-MA,"International TV Shows, Korean TV Shows, TV Comedies",0.0,1,3,15.0
TV Show,Violet Evergarden: Special,2018,TV-PG,"Anime Series, International TV Shows, Romantic TV Shows",0.0,1,3,0.0
Movie,The Black Prince,2017,PG-13,"Dramas, International Movies",121.0,0,2,9.0
Movie,Truth or Dare,2017,TV-MA,Horror Movies,88.0,0,2,13.0
Movie,Death Race: Beyond Anarchy,2017,R,Action & Adventure,111.0,0,2,11.0
Movie,Eric ldle's What About Dick?,2012,TV-MA,"Comedies, Music & Musicals",81.0,0,2,6.0
Movie,Joe Rogan: Strange Times,2018,TV-MA,Stand-Up Comedy,64.0,0,2,5.0
TV Show,Monty Python Best Bits (mostly),2014,TV-MA,"British TV Shows, Docuseries, TV Comedies",0.0,1,3,14.0
Movie,Monty Python Conquers America,2008,TV-MA,Documentaries,55.0,0,2,17.0
Movie,"Monty Python Live (Mostly): One Down, Five to Go",2014,TV-MA,Comedies,137.0,0,2,6.0
Movie,Monty Python: Before the Flying Circus,2000,TV-MA,"Comedies, Documentaries",56.0,0,1,1.0
Movie,Monty Python: Live at Aspen,1998,TV-MA,"Comedies, Documentaries",58.0,0,1,1.0
Movie,Monty Python: Live at The Hollywood Bowl,1982,R,Comedies,80.0,0,1,0.0
Movie,Monty Python: The Meaning of Live,2014,TV-MA,Documentaries,94.0,0,2,17.0
TV Show,Monty Python's Almost the Truth,2009,TV-MA,"British TV Shows, Docuseries",0.0,1,3,14.0
TV Show,Monty Python's Fliegender Zirkus,1972,TV-MA,"International TV Shows, TV Comedies",0.0,1,1,0.0
TV Show,Monty Python's Flying Circus,1974,TV-14,"British TV Shows, Classic & Cult TV, International TV Shows",0.0,4,1,0.0
Movie,Monty Python's Life of Brian,1979,R,"Classic Movies, Comedies, Cult Movies",94.0,0,1,0.0
TV Show,Monty Python's Personal Best,2005,TV-MA,"British TV Shows, TV Comedies",0.0,1,3,18.0
Movie,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,TV-14,Comedies,72.0,0,1,1.0
Movie,The Meaning of Monty Python,2013,TV-MA,Documentaries,60.0,0,2,17.0
Movie,25 Kille,2016,TV-14,"Action & Adventure, Dramas, International Movies",140.0,0,2,15.0
Movie,A Witches' Ball,2017,PG,Children & Family Movies,91.0,0,2,2.0
Movie,Agyaat,2009,TV-14,"Horror Movies, International Movies",97.0,0,2,0.0
Movie,Anjaan,2014,TV-14,"Action & Adventure, Dramas, International Movies",146.0,0,2,15.0
Movie,Bathinda Express,2016,TV-14,"Dramas, International Movies, Sports Movies",118.0,0,2,15.0
Movie,Delhi 6,2009,TV-14,"Dramas, International Movies",128.0,0,2,15.0
Movie,Dev.D,2009,TV-MA,"Dramas, International Movies, Romantic Movies",137.0,0,2,7.0
Movie,Dil Vil Pyaar Vyaar,2014,TV-PG,"International Movies, Music & Musicals, Romantic Movies",145.0,0,2,1.0
Movie,Dushman,2017,TV-14,"Dramas, International Movies",141.0,0,2,15.0
Movie,Ek Main Aur Ekk Tu,2012,TV-14,"Comedies, International Movies, Romantic Movies",106.0,0,2,4.0
Movie,Freedom at Midnight,2018,TV-MA,"Dramas, Independent Movies, International Movies",135.0,0,2,7.0
Movie,Haani,2013,TV-14,"Dramas, International Movies, Music & Musicals",137.0,0,2,15.0
Movie,Happy Go Lucky,2014,TV-14,"Comedies, International Movies, Music & Musicals",129.0,0,2,4.0
Movie,Harishchandrachi Factory,2009,TV-PG,"Dramas, International Movies",99.0,0,2,1.0
TV Show,Hot Date,2018,TV-MA,"Romantic TV Shows, TV Comedies",0.0,1,3,15.0
Movie,Jagga Jasoos,2017,TV-14,"Action & Adventure, Comedies, International Movies",155.0,0,2,4.0
Movie,Jatt James Bond,2014,TV-14,"Comedies, Dramas, International Movies",142.0,0,2,4.0
Movie,Jodhaa Akbar,2008,TV-14,"Action & Adventure, Dramas, International Movies",214.0,0,2,15.0
Movie,Judge Singh LLB,2015,TV-PG,"Comedies, Dramas, International Movies",137.0,0,2,1.0
Movie,Kaminey,2009,TV-14,"Dramas, International Movies, Music & Musicals",128.0,0,2,15.0
Movie,Khido Khundi,2018,TV-14,"Dramas, International Movies, Sports Movies",151.0,0,2,15.0
Movie,Khoobsurat,2014,TV-14,"Comedies, International Movies, Romantic Movies",121.0,0,2,4.0
Movie,Kisaan,2009,TV-14,"Action & Adventure, Dramas, International Movies",101.0,0,2,15.0
Movie,Kismat Konnection,2008,TV-14,"Comedies, Dramas, International Movies",145.0,0,2,4.0
Movie,Kurbaan,2009,TV-14,"International Movies, Thrillers",147.0,0,2,0.0
Movie,Lock,2016,TV-14,"Dramas, International Movies",90.0,0,2,15.0
Movie,Luv Shuv Tey Chicken Khurana,2012,TV-14,"Comedies, International Movies, Romantic Movies",129.0,0,2,4.0
Movie,"Main, Meri Patni Aur Woh",2005,TV-PG,"Comedies, Dramas, International Movies",129.0,0,2,1.0
Movie,Manje Bistre,2017,TV-14,"Comedies, Dramas, International Movies",136.0,0,2,4.0
Movie,Motor Mitraan Di,2016,TV-PG,"Comedies, International Movies",117.0,0,2,1.0
Movie,Mugamoodi,2012,TV-14,"Action & Adventure, International Movies",150.0,0,2,0.0
Movie,Muran,2011,TV-14,"Action & Adventure, International Movies",134.0,0,2,0.0
Movie,My Friend Pinto,2011,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",100.0,0,2,4.0
Movie,My Little Pony Equestria Girls: Forgotten Friendship,2018,TV-Y,Children & Family Movies,44.0,0,2,16.0
Movie,My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,TV-Y,Children & Family Movies,44.0,0,2,16.0
